source,source_key,source_name,source_team,source_pos,slot,verdict,reason,resolved_espn_id,cand1_espn_id,cand1_name,cand1_pos,cand1_score,cand2_espn_id,cand2_name,cand2_pos,cand2_score,cand3_espn_id,cand3_name,cand3_pos,cand3_score
4for4_idp,dl:Gregory Rousseau|BUF,Gregory Rousseau,BUF,DE,DL,review,best score 0.90 below auto floor 0.94,4362506,4362506,Greg Rousseau,DE,0.897,,,,,,,,
4for4_idp,dl:Chris Jones|KC,Chris Jones,KC,DT,DL,review,"ambiguous, team-disambiguated candidate shown first",3044859,3044859,Chris Jones,DT,1,3116104,Chris Jones,CB,1,,,,
4for4_idp,dl:Byron Murphy II|SEA,Byron Murphy II,SEA,DT,DL,review,"ambiguous, team-disambiguated candidate shown first",4570040,4570040,Byron Murphy II,DT,1,4038999,Byron Murphy Jr.,CB,1,,,,
4for4_idp,dl:Tedarrell Slaton|CIN,Tedarrell Slaton,CIN,DT,DL,review,best score 0.71 below auto floor 0.94,4240612,4612836,Darrell Jackson Jr.,DT,0.71,,,,,,,,
4for4_idp,dl:Aaron Donald|LAR,Aaron Donald,LAR,DT,DL,unmatched,no candidate above floor,16716,,,,,,,,,,,,
4for4_idp,dl:Jordan Phillips|MIA,Jordan Phillips,MIA,DT,DL,review,"ambiguous, team-disambiguated candidate shown first",4837188,2577466,Jordan Phillips,DT,1,4837188,Jordan Phillips,DT,1,,,,
4for4_idp,dl:Michael Hall|CLE,Michael Hall,CLE,DT,DL,review,best score 0.77 below auto floor 0.94,4600415,15231,Michael Thomas,S,0.769,4600415,Mike Hall Jr.,DT,0.762,3123052,Michael Badgley,K,0.741
4for4_idp,dl:Jared Harrison-Hunte|CAR,Jared Harrison-Hunte,CAR,DE,DL,unmatched,no candidate above floor,4427401,,,,,,,,,,,,
4for4_idp,dl:Trey Moore|MIA,Trey Moore,MIA,DE,DL,review,slot mismatch: source DL vs ESPN LB,4879212,4879212,Trey Moore,LB,1,,,,,,,,
4for4_idp,dl:TeRah Edwards|LAC,TeRah Edwards,LAC,DT,DL,review,best score 0.78 below auto floor 0.94,4431077,3121544,T.J. Edwards,LB,0.783,3155647,Mike Edwards,S,0.72,,,,
4for4_idp,lb:Nathan Landman|LAR,Nathan Landman,LAR,LB,LB,review,best score 0.85 below auto floor 0.94,4243181,4243181,Nate Landman,LB,0.846,,,,,,,,
4for4_idp,lb:Dennis Gardeck|JAX,Dennis Gardeck,JAX,LB,LB,review,slot mismatch: source LB vs ESPN DL,4334300,4334300,Dennis Gardeck,DE,1,,,,,,,,
4for4_idp,lb:Justin Jefferson|CLE,Justin Jefferson,CLE,LB,LB,review,"ambiguous, team-disambiguated candidate shown first",5150249,4262921,Justin Jefferson,WR,1,5150249,Justin Jefferson,LB,1,,,,
4for4_idp,lb:Marist Liufau|DAL,Marist Liufau,DAL,LB,LB,review,slot mismatch: source LB vs ESPN DL,4427816,4427816,Marist Liufau,DE,1,,,,,,,,
4for4_idp,lb:Francisco Mauigoa|NYJ,Francisco Mauigoa,NYJ,LB,LB,unmatched,no candidate above floor,4700136,,,,,,,,,,,,
4for4_idp,lb:Taurean York|DEN,Taurean York,DEN,LB,LB,unmatched,no candidate above floor,4917859,,,,,,,,,,,,
4for4_idp,lb:Jamin Davis|PIT,Jamin Davis,PIT,LB,LB,review,slot mismatch: source LB vs ESPN DL,4240778,4240778,Jamin Davis,DE,1,,,,,,,,
fantasypros_idp,73:T.J. Watt,T.J. Watt,PIT,LB,LB,review,slot mismatch: source LB vs ESPN DL,3045282,3045282,T.J. Watt,DE,1,,,,,,,,
fantasypros_idp,74:Andrew Van Ginkel,Andrew Van Ginkel,MIN,LB,LB,review,slot mismatch: source LB vs ESPN DL,3133487,3133487,Andrew Van Ginkel,DE,1,,,,,,,,
fantasypros_idp,78:Byron Young,Byron Young,LAR,DE,DL,review,"ambiguous, team-disambiguated candidate shown first",4875196,4875196,Byron Young,DE,1,4567123,Byron Young,DT,1,,,,
fantasypros_idp,88:Alex Highsmith,Alex Highsmith,PIT,LB,LB,review,slot mismatch: source LB vs ESPN DL,4037333,4037333,Alex Highsmith,DE,1,,,,,,,,
fantasypros_idp,103:Micah Parsons,Micah Parsons,GB,LB,LB,review,slot mismatch: source LB vs ESPN DL,4361423,4361423,Micah Parsons,DE,1,,,,,,,,
fantasypros_idp,117:Harold Landry III,Harold Landry III,NE,LB,LB,review,slot mismatch: source LB vs ESPN DL,3122793,3122793,Harold Landry III,DE,1,,,,,,,,
fantasypros_idp,125:Bradley Chubb,Bradley Chubb,BUF,LB,LB,review,slot mismatch: source LB vs ESPN DL,3116733,3116733,Bradley Chubb,DE,1,,,,,,,,
fantasypros_idp,140:Austin Booker,Austin Booker,CHI,LB,LB,review,slot mismatch: source LB vs ESPN DL,4683553,4683553,Austin Booker,DE,1,,,,,,,,
fantasypros_idp,141:Chris Jones,Chris Jones,KC,DT,DL,review,"ambiguous, team-disambiguated candidate shown first",3044859,3044859,Chris Jones,DT,1,3116104,Chris Jones,CB,1,,,,
fantasypros_idp,171:Nick Herbig,Nick Herbig,PIT,LB,LB,review,slot mismatch: source LB vs ESPN DL,4429164,4429164,Nick Herbig,DE,1,,,,,,,,
fantasypros_idp,172:Byron Murphy II,Byron Murphy II,SEA,DT,DL,review,"ambiguous, team-disambiguated candidate shown first",4570040,4570040,Byron Murphy II,DT,1,4038999,Byron Murphy Jr.,CB,1,,,,
fantasypros_idp,176:Khalil Mack,Khalil Mack,LAC,LB,LB,review,slot mismatch: source LB vs ESPN DL,16710,16710,Khalil Mack,DE,1,,,,,,,,
fantasypros_idp,190:Uchenna Nwosu,Uchenna Nwosu,SEA,LB,LB,review,slot mismatch: source LB vs ESPN DL,3120358,3120358,Uchenna Nwosu,DE,1,,,,,,,,
fantasypros_idp,192:Rashan Gary,Rashan Gary,DAL,LB,LB,review,slot mismatch: source LB vs ESPN DL,4046523,4046523,Rashan Gary,DE,1,,,,,,,,
fantasypros_idp,193:Jalyx Hunt,Jalyx Hunt,PHI,LB,LB,review,slot mismatch: source LB vs ESPN DL,4571162,4571162,Jalyx Hunt,DE,1,,,,,,,,
historical,Justin Jefferson,Justin Jefferson,,WR,WR,review,ambiguous: 2 ESPN players share this name,4262921,4262921,Justin Jefferson,WR,1,5150249,Justin Jefferson,LB,1,,,,
historical,Lamar Jackson,Lamar Jackson,,QB,QB,review,ambiguous: 2 ESPN players share this name,3916387,3916387,Lamar Jackson,QB,1,4034849,Lamar Jackson,CB,1,,,,
historical,Shaquille Leonard,Shaquille Leonard,,LB,LB,review,best score 0.73 below auto floor 0.94,3056362,4683423,Riley Leonard,QB,0.733,,,,,,,,
historical,Michael Thomas,Michael Thomas,,WR,WR,review,slot mismatch: source WR vs ESPN DB,2976316,15231,Michael Thomas,S,1,,,,,,,,
historical,Jerick McKinnon,Jerick McKinnon,,RB,RB,review,best score 0.71 below auto floor 0.94,16782,4430153,Derrick McLendon,DE,0.71,,,,,,,,
historical,Aaron Donald,Aaron Donald,,DT,DL,unmatched,no candidate above floor,16716,,,,,,,,,,,,
historical,Marquise Brown,Marquise Brown,,WR,WR,review,best score 0.79 below auto floor 0.94,4241372,4243244,Marquise Blair,S,0.786,4244310,Mike Brown,S,0.75,4426794,Omar Brown,S,0.75
historical,Kamren Curl,Kamren Curl,,S,DB,review,best score 0.84 below auto floor 0.94,4242154,4242154,Kam Curl,S,0.842,,,,,,,,
historical,Michael Gallup,Michael Gallup,,WR,WR,unmatched,no candidate above floor,4036348,,,,,,,,,,,,
historical,Rashaad Penny,Rashaad Penny,,RB,RB,review,best score 0.74 below auto floor 0.94,3139925,4432661,Rayshaun Benny,DT,0.741,,,,,,,,
historical,Rondale Moore,Rondale Moore,,WR,WR,unmatched,no candidate above floor,4372485,,,,,,,,,,,,
historical,Isaiah Simmons,Isaiah Simmons,,CB,DB,review,slot mismatch: source DB vs ESPN LB,4035462,4035462,Isaiah Simmons,LB,1,,,,,,,,
historical,Matt Breida,Matt Breida,,RB,RB,unmatched,no candidate above floor,3049916,,,,,,,,,,,,
historical,Damien Harris,Damien Harris,,RB,RB,review,best score 0.80 below auto floor 0.94,3925347,4259370,Jalen Harris,DE,0.8,3052926,Demone Harris,DE,0.769,3122906,Darius Harris,LB,0.769
historical,Chris Jones,Chris Jones,,DT,DL,review,ambiguous: 2 ESPN players share this name,3044859,3044859,Chris Jones,DT,1,3116104,Chris Jones,CB,1,,,,
historical,Donovan Peoples-Jones,Donovan Peoples-Jones,,WR,WR,unmatched,no candidate above floor,4258195,,,,,,,,,,,,
historical,Camryn Bynum,Camryn Bynum,,S,DB,review,best score 0.86 below auto floor 0.94,4035861,4035861,Cam Bynum,S,0.857,,,,,,,,
historical,Josh Metellus,Josh Metellus,,S,DB,review,best score 0.93 below auto floor 0.94,4046537,4046537,Joshua Metellus,S,0.929,,,,,,,,
historical,Byron Young,Byron Young,,DE,DL,review,ambiguous: 2 ESPN players share this name,4875196,4875196,Byron Young,DE,1,4567123,Byron Young,DT,1,,,,
