source,source_key,source_name,source_team,source_pos,slot,espn_id,espn_name,espn_pos,match_type,score
4for4_idp,dl:Alex Wright|CLE,Alex Wright,CLE,DE,DL,4570119,Alex Wright,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Alfred Collins|SF,Alfred Collins,SF,DT,DL,4430835,Alfred Collins,DT,"exact name, slot agrees",1.000
4for4_idp,db:Alijah Clark|DAL,Alijah Clark,DAL,S,DB,4595352,Alijah Clark,S,"exact name, slot agrees",1.000
4for4_idp,db:Alijah Huzzie|HOU,Alijah Huzzie,HOU,CB,DB,4577494,Alijah Huzzie,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Alim McNeill|DET,Alim McNeill,DET,DT,DL,4361662,Alim McNeill,DT,"exact name, slot agrees",1.000
4for4_idp,db:Alohi Gilman|KC,Alohi Gilman,KC,S,DB,4039413,Alohi Gilman,S,"exact name, slot agrees",1.000
4for4_idp,db:Alontae Taylor|TEN,Alontae Taylor,TEN,CB,DB,4369835,Alontae Taylor,CB,"exact name, slot agrees",1.000
4for4_idp,db:Amani Hooker|TEN,Amani Hooker,TEN,S,DB,4036134,Amani Hooker,S,"exact name, slot agrees",1.000
4for4_idp,db:Amik Robertson|WAS,Amik Robertson,WAS,CB,DB,4239694,Amik Robertson,CB,"exact name, slot agrees",1.000
4for4_idp,db:Andre Cisco|NYJ,Andre Cisco,NYJ,S,DB,4361939,Andre Cisco,S,"exact name, slot agrees",1.000
4for4_idp,dl:Andre Jones|BUF,Andre Jones,BUF,DE,DL,4249214,Andre Jones Jr.,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Andrew Billings|ARI,Andrew Billings,ARI,DT,DL,3051775,Andrew Billings,DT,"exact name, slot agrees",1.000
4for4_idp,db:Andrew Mukuba|PHI,Andrew Mukuba,PHI,S,DB,4602197,Andrew Mukuba,S,"exact name, slot agrees",1.000
4for4_idp,dl:Andrew Van Ginkel|MIN,Andrew Van Ginkel,MIN,DE,DL,3133487,Andrew Van Ginkel,DE,"exact name, slot agrees",1.000
4for4_idp,db:Andrew Wingard|ARI,Andrew Wingard,ARI,S,DB,3918331,Andrew Wingard,S,"exact name, slot agrees",1.000
4for4_idp,db:Andru Phillips|NYG,Andru Phillips,NYG,CB,DB,4431321,Dru Phillips,CB,hand_reviewed,
4for4_idp,dl:Anfernee Jennings|NO,Anfernee Jennings,NO,DE,DL,3925350,Anfernee Jennings,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Anthony Goodlow|PIT,Anthony Goodlow,PIT,DE,DL,4372378,Anthony Goodlow,DE,"exact name, slot agrees",1.000
4for4_idp,lb:Anthony Hill Jr|TEN,Anthony Hill Jr,TEN,LB,LB,4870805,Anthony Hill Jr.,LB,"exact name, slot agrees",1.000
4for4_idp,dl:Anthony Nelson|TB,Anthony Nelson,TB,DE,DL,3894856,Anthony Nelson,DE,"exact name, slot agrees",1.000
4for4_idp,db:Antoine Winfield Jr.|TB,Antoine Winfield Jr.,TB,S,DB,4034790,Antoine Winfield Jr.,S,"exact name, slot agrees",1.000
4for4_idp,db:Antonio Johnson|JAX,Antonio Johnson,JAX,S,DB,4429168,Antonio Johnson,S,"exact name, slot agrees",1.000
4for4_idp,db:Ar'Darius Washington|NYG,Ar'Darius Washington,NYG,S,DB,4362492,Ar'Darius Washington,S,"exact name, slot agrees",1.000
4for4_idp,dl:Arden Key|IND,Arden Key,IND,DE,DL,3843843,Arden Key,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Arik Armstead|JAX,Arik Armstead,JAX,DT,DL,2971275,Arik Armstead,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Arnold Ebiketie|PHI,Arnold Ebiketie,PHI,DE,DL,4257591,Arnold Ebiketie,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Arron Mosby|GB,Arron Mosby,GB,DE,DL,4242996,Arron Mosby,DE,"exact name, slot agrees",1.000
4for4_idp,lb:Arvell Reese|NYG,Arvell Reese,NYG,LB,LB,4950400,Arvell Reese,LB,"exact name, slot agrees",1.000
4for4_idp,db:Asante Samuel Jr.|PIT,Asante Samuel Jr.,PIT,CB,DB,4363034,Asante Samuel Jr.,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Ashton Gillotte|KC,Ashton Gillotte,KC,DE,DL,4684432,Ashton Gillotte,DE,"exact name, slot agrees",1.000
4for4_idp,db:Ashtyn Davis|SF,Ashtyn Davis,SF,S,DB,3858271,Ashtyn Davis,S,"exact name, slot agrees",1.000
4for4_idp,lb:Austin Ajiake|IND,Austin Ajiake,IND,LB,LB,4374171,Austin Ajiake,LB,"exact name, slot agrees",1.000
4for4_idp,dl:Austin Booker|CHI,Austin Booker,CHI,DE,DL,4683553,Austin Booker,DE,"exact name, slot agrees",1.000
4for4_idp,db:Avieon Terrell|ATL,Avieon Terrell,ATL,CB,DB,4870988,Avieon Terrell,CB,"exact name, slot agrees",1.000
4for4_idp,db:Avonte Maddox|DET,Avonte Maddox,DET,S,DB,3123938,Avonte Maddox,S,"exact name, slot agrees",1.000
4for4_idp,db:Azareye'h Thomas|NYJ,Azareye'h Thomas,NYJ,CB,DB,4685596,Azareye'h Thomas,CB,"exact name, slot agrees",1.000
4for4_idp,lb:Azeez Al-Shaair|HOU,Azeez Al-Shaair,HOU,LB,LB,3919117,Azeez Al-Shaair,LB,"exact name, slot agrees",1.000
4for4_idp,dl:Azeez Ojulari|ATL,Azeez Ojulari,ATL,DE,DL,4379409,Azeez Ojulari,DE,"exact name, slot agrees",1.000
4for4_idp,dl:B.J. Green|JAX,B.J. Green,JAX,DE,DL,4875266,B.J. Green II,DE,"exact name, slot agrees",1.000
4for4_idp,dl:B.J. Hill|CIN,B.J. Hill,CIN,DT,DL,3116748,B.J. Hill,DT,"exact name, slot agrees",1.000
4for4_idp,dl:BJ Ojulari|ARI,BJ Ojulari,ARI,DE,DL,4429111,BJ Ojulari,DE,"exact name, slot agrees",1.000
4for4_idp,lb:Bam Martin-Scott|CAR,Bam Martin-Scott,CAR,LB,LB,4880613,Bam Martin-Scott,LB,"exact name, slot agrees",1.000
4for4_idp,dl:Baron Browning|ARI,Baron Browning,ARI,DE,DL,4241987,Baron Browning,DE,"exact name, slot agrees",1.000
4for4_idp,lb:Barrett Carter|CIN,Barrett Carter,CIN,LB,LB,4431519,Barrett Carter,LB,"exact name, slot agrees",1.000
4for4_idp,dl:Barryn Sorrell|GB,Barryn Sorrell,GB,DE,DL,4683643,Barryn Sorrell,DE,"exact name, slot agrees",1.000
4for4_idp,db:Benjamin Morrison|TB,Benjamin Morrison,TB,CB,DB,4816107,Benjamin Morrison,CB,"exact name, slot agrees",1.000
4for4_idp,db:Benjamin St-Juste|GB,Benjamin St-Juste,GB,CB,DB,4258206,Benjamin St-Juste,CB,"exact name, slot agrees",1.000
4for4_idp,db:Billy Bowman|ATL,Billy Bowman,ATL,CB,DB,4431194,Billy Bowman Jr.,CB,"exact name, slot agrees",1.000
4for4_idp,lb:Blake Cashman|MIN,Blake Cashman,MIN,LB,LB,3728281,Blake Cashman,LB,"exact name, slot agrees",1.000
4for4_idp,dl:Bo Richter|MIN,Bo Richter,MIN,DE,DL,4875564,Bo Richter,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Bobby Brown|CAR,Bobby Brown,CAR,DT,DL,4372518,Bobby Brown III,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Boye Mafe|CIN,Boye Mafe,CIN,DE,DL,4240754,Boye Mafe,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Braden Fiske|LAR,Braden Fiske,LAR,DT,DL,4362245,Braden Fiske,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Bradley Chubb|BUF,Bradley Chubb,BUF,DE,DL,3116733,Bradley Chubb,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Braiden McGregor|NYJ,Braiden McGregor,NYJ,DE,DL,4429005,Braiden McGregor,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Bralen Trice|ATL,Bralen Trice,ATL,DE,DL,4428713,Bralen Trice,DE,"exact name, slot agrees",1.000
4for4_idp,db:Bralyn Lux|CIN,Bralyn Lux,CIN,CB,DB,4575559,Bralyn Lux,CB,"exact name, slot agrees",1.000
4for4_idp,db:Brandin Echols|PIT,Brandin Echols,PIT,CB,DB,4567979,Brandin Echols,CB,"exact name, slot agrees",1.000
4for4_idp,db:Brandon Cisse|GB,Brandon Cisse,GB,CB,DB,5076652,Brandon Cisse,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Brandon Cleveland|LV,Brandon Cleveland,LV,DT,DL,4685305,Brandon Cleveland,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Brandon Dorlus|ATL,Brandon Dorlus,ATL,DT,DL,4427090,Brandon Dorlus,DT,"exact name, slot agrees",1.000
4for4_idp,db:Brandon Jones|DEN,Brandon Jones,DEN,S,DB,4039059,Brandon Jones,S,"exact name, slot agrees",1.000
4for4_idp,dl:Brandon Pili|SEA,Brandon Pili,SEA,DT,DL,4259651,Brandon Pili,DT,"exact name, slot agrees",1.000
4for4_idp,db:Brandon Stephens|NYJ,Brandon Stephens,NYJ,CB,DB,4035824,Brandon Stephens,CB,"exact name, slot agrees",1.000
4for4_idp,lb:Branson Combs|JAX,Branson Combs,JAX,LB,LB,4572704,Branson Combs,LB,"exact name, slot agrees",1.000
4for4_idp,db:Brenden Schooler|NE,Brenden Schooler,NE,S,DB,4047941,Brenden Schooler,S,"exact name, slot agrees",1.000
4for4_idp,dl:Brenton Cox|GB,Brenton Cox,GB,DE,DL,4361776,Brenton Cox Jr.,DE,"exact name, slot agrees",1.000
4for4_idp,db:Brian Branch|DET,Brian Branch,DET,S,DB,4692025,Brian Branch,S,"exact name, slot agrees",1.000
4for4_idp,dl:Brian Burns|NYG,Brian Burns,NYG,DE,DL,4035631,Brian Burns,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Broderick Washington Jr.|BAL,Broderick Washington Jr.,BAL,DT,DL,3915837,Broderick Washington Jr.,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Bryan Bresee|NO,Bryan Bresee,NO,DT,DL,4428988,Bryan Bresee,DT,"exact name, slot agrees",1.000
4for4_idp,db:Bryan Cook|CIN,Bryan Cook,CIN,S,DB,4247726,Bryan Cook,S,"exact name, slot agrees",1.000
4for4_idp,lb:Bryce Boettcher|IND,Bryce Boettcher,IND,LB,LB,5088571,Bryce Boettcher,LB,"exact name, slot agrees",1.000
4for4_idp,db:Bud Clark|SEA,Bud Clark,SEA,S,DB,4430262,Bud Clark,S,"exact name, slot agrees",1.000
4for4_idp,dl:Bud Dupree|LAC,Bud Dupree,LAC,DE,DL,2576702,Bud Dupree,DE,"exact name, slot agrees",1.000
4for4_idp,db:Budda Baker|ARI,Budda Baker,ARI,S,DB,3127287,Budda Baker,S,"exact name, slot agrees",1.000
4for4_idp,dl:Byron Murphy II|SEA,Byron Murphy II,SEA,DT,DL,4570040,Byron Murphy II,DT,hand_reviewed,
4for4_idp,db:Byron Murphy Jr.|MIN,Byron Murphy Jr.,MIN,CB,DB,4038999,Byron Murphy Jr.,CB,hand_reviewed,
4for4_idp,dl:Byron Young|LAR,Byron Young,LAR,DE,DL,4875196,Byron Young,DE,hand_reviewed,
4for4_idp,db:C.J. Gardner-Johnson|BUF,C.J. Gardner-Johnson,BUF,S,DB,4034953,C.J. Gardner-Johnson,S,"exact name, slot agrees",1.000
4for4_idp,db:C.J. Henderson|ATL,C.J. Henderson,ATL,CB,DB,4240596,C.J. Henderson,CB,"exact name, slot agrees",1.000
4for4_idp,dl:C.J. Ravenell|NYG,C.J. Ravenell,NYG,DT,DL,4700676,C.J. Ravenell,DT,"exact name, slot agrees",1.000
4for4_idp,lb:CJ Allen|IND,CJ Allen,IND,LB,LB,4870598,CJ Allen,LB,"exact name, slot agrees",1.000
4for4_idp,dl:CJ Okoye|BAL,CJ Okoye,BAL,DT,DL,5144942,CJ Okoye,DT,"exact name, slot agrees",1.000
4for4_idp,dl:CJ West|SF,CJ West,SF,DT,DL,4686308,C.J. West,DT,"exact name, slot agrees",1.000
4for4_idp,db:Caelen Carson|DAL,Caelen Carson,DAL,CB,DB,4431006,Caelen Carson,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Calais Campbell|BAL,Calais Campbell,BAL,DT,DL,11284,Calais Campbell,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Caleb Banks|MIN,Caleb Banks,MIN,DT,DL,4602019,Caleb Banks,DT,"exact name, slot agrees",1.000
4for4_idp,db:Caleb Downs|DAL,Caleb Downs,DAL,S,DB,4870706,Caleb Downs,S,"exact name, slot agrees",1.000
4for4_idp,dl:Caleb Murphy|NYG,Caleb Murphy,NYG,DE,DL,4911489,Caleb Murphy,DE,"exact name, slot agrees",1.000
4for4_idp,db:Caleb Ransaw|JAX,Caleb Ransaw,JAX,S,DB,4683347,Caleb Ransaw,S,"exact name, slot agrees",1.000
4for4_idp,db:Calen Bullock|HOU,Calen Bullock,HOU,S,DB,4431517,Calen Bullock,S,"exact name, slot agrees",1.000
4for4_idp,dl:Calijah Kancey|TB,Calijah Kancey,TB,DT,DL,4427673,Calijah Kancey,DT,"exact name, slot agrees",1.000
4for4_idp,db:Cam Hart|LAC,Cam Hart,LAC,CB,DB,4427404,Cam Hart,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Cam Jackson|CAR,Cam Jackson,CAR,DT,DL,4687513,Cam Jackson,DT,"exact name, slot agrees",1.000
4for4_idp,db:Cam Lampkin|LAR,Cam Lampkin,LAR,CB,DB,4427752,,,hand_reviewed,
4for4_idp,db:Cam Taylor-Britt|IND,Cam Taylor-Britt,IND,CB,DB,4361196,Cam Taylor-Britt,CB,"exact name, slot agrees",1.000
4for4_idp,db:Cam'Ron Silmon-Craig|JAX,Cam'Ron Silmon-Craig,JAX,S,DB,4877475,Cam'Ron Silmon-Craig,S,"exact name, slot agrees",1.000
4for4_idp,dl:Cameron Goode|MIA,Cameron Goode,MIA,DE,DL,4035857,Cameron Goode,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Cameron Heyward|PIT,Cameron Heyward,PIT,DT,DL,13977,Cameron Heyward,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Cameron Jordan|NO,Cameron Jordan,NO,DE,DL,13971,Cameron Jordan,DE,"exact name, slot agrees",1.000
4for4_idp,db:Cameron Lewis|CHI,Cameron Lewis,CHI,S,DB,3916577,Cam Lewis,S,hand_reviewed,
4for4_idp,db:Cameron Mitchell|IND,Cameron Mitchell,IND,CB,DB,4569607,Cameron Mitchell,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Cameron Sample|SF,Cameron Sample,SF,DE,DL,4243923,Cameron Sample,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Cameron Thomas|ATL,Cameron Thomas,ATL,DE,DL,4361510,Cameron Thomas,DE,"exact name, slot agrees",1.000
4for4_idp,db:Camryn Bynum|IND,Camryn Bynum,IND,S,DB,4035861,Cam Bynum,S,hand_reviewed,
4for4_idp,dl:Carl Granderson|NO,Carl Granderson,NO,DE,DL,3918310,Carl Granderson,DE,"exact name, slot agrees",1.000
4for4_idp,db:Carlton Davis|NE,Carlton Davis,NE,CB,DB,3916923,Carlton Davis III,CB,"exact name, slot agrees",1.000
4for4_idp,db:Carrington Valentine|GB,Carrington Valentine,GB,CB,DB,4430965,Carrington Valentine,CB,"exact name, slot agrees",1.000
4for4_idp,lb:Carson Schwesinger|CLE,Carson Schwesinger,CLE,LB,LB,4876017,Carson Schwesinger,LB,"exact name, slot agrees",1.000
4for4_idp,dl:Cashius Howell|CIN,Cashius Howell,CIN,DE,DL,4710752,Cashius Howell,DE,"exact name, slot agrees",1.000
4for4_idp,lb:Cedric Gray|TEN,Cedric Gray,TEN,LB,LB,4429834,Cedric Gray,LB,"exact name, slot agrees",1.000
4for4_idp,dl:Cedric Johnson|CIN,Cedric Johnson,CIN,DE,DL,4430065,Cedric Johnson,DE,"exact name, slot agrees",1.000
4for4_idp,lb:Chad Muma|NE,Chad Muma,NE,LB,LB,4361707,Chad Muma,LB,"exact name, slot agrees",1.000
4for4_idp,db:Chamarri Conner|KC,Chamarri Conner,KC,S,DB,4361964,Chamarri Conner,S,"exact name, slot agrees",1.000
4for4_idp,db:Chandler Rivers|BAL,Chandler Rivers,BAL,CB,DB,4702918,Chandler Rivers,CB,"exact name, slot agrees",1.000
4for4_idp,db:Charles Demmings|MIN,Charles Demmings,MIN,CB,DB,5091793,Charles Demmings,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Charles Omenihu|WAS,Charles Omenihu,WAS,DT,DL,3929865,Charles Omenihu,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Charles Snowden|DAL,Charles Snowden,DAL,DE,DL,4240849,Charles Snowden,DE,"exact name, slot agrees",1.000
4for4_idp,db:Charles Woods|NE,Charles Woods,NE,CB,DB,4368113,Charles Woods,CB,"exact name, slot agrees",1.000
4for4_idp,db:Charvarius Ward|IND,Charvarius Ward,IND,CB,DB,4037361,Charvarius Ward,CB,"exact name, slot agrees",1.000
4for4_idp,db:Chase Lucas|TB,Chase Lucas,TB,CB,DB,4047846,Chase Lucas,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Chase Young|NO,Chase Young,NO,DE,DL,4241986,Chase Young,DE,"exact name, slot agrees",1.000
4for4_idp,db:Chau Smith-Wade|CAR,Chau Smith-Wade,CAR,CB,DB,4697636,Chau Smith-Wade,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Chauncey Golston|NYG,Chauncey Golston,NYG,DE,DL,4036132,Chauncey Golston,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Chaz Chambliss|MIN,Chaz Chambliss,MIN,DE,DL,4431520,Chaz Chambliss,DE,"exact name, slot agrees",1.000
4for4_idp,db:Chidobe Awuzie|BAL,Chidobe Awuzie,BAL,CB,DB,3052101,Chidobe Awuzie,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Chop Robinson|MIA,Chop Robinson,MIA,DE,DL,4431586,Chop Robinson,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Chris Braswell|TB,Chris Braswell,TB,DE,DL,4428989,Chris Braswell,DE,"exact name, slot agrees",1.000
4for4_idp,db:Chris Johnson|MIA,Chris Johnson,MIA,CB,DB,4869579,Chris Johnson,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Chris Jones|KC,Chris Jones,KC,DT,DL,3044859,Chris Jones,DT,hand_reviewed,
4for4_idp,dl:Chris McClellan|GB,Chris McClellan,GB,DT,DL,4820574,Chris McClellan,DT,"exact name, slot agrees",1.000
4for4_idp,db:Chris Roland-Wallace|KC,Chris Roland-Wallace,KC,S,DB,4428383,Chris Roland-Wallace,S,"exact name, slot agrees",1.000
4for4_idp,dl:Chris Rumph|NO,Chris Rumph,NO,DE,DL,4240475,Chris Rumph II,DE,"exact name, slot agrees",1.000
4for4_idp,dl:Chris Williams|ATL,Chris Williams,ATL,DE,DL,4034530,Chris Williams,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Christen Miller|NO,Christen Miller,NO,DT,DL,4685479,Christen Miller,DT,"exact name, slot agrees",1.000
4for4_idp,dl:Christian Barmore|NE,Christian Barmore,NE,DT,DL,4372030,Christian Barmore,DT,"exact name, slot agrees",1.000
4for4_idp,db:Christian Benford|BUF,Christian Benford,BUF,CB,DB,4379778,Christian Benford,CB,"exact name, slot agrees",1.000
4for4_idp,db:Christian Braswell|JAX,Christian Braswell,JAX,CB,DB,4257580,Christian Braswell,CB,"exact name, slot agrees",1.000
4for4_idp,lb:Christian Elliss|NE,Christian Elliss,NE,LB,LB,4245273,Christian Elliss,LB,"exact name, slot agrees",1.000
4for4_idp,db:Christian Gonzalez|NE,Christian Gonzalez,NE,CB,DB,4686772,Christian Gonzalez,CB,"exact name, slot agrees",1.000
4for4_idp,lb:Christian Harris|ATL,Christian Harris,ATL,LB,LB,4567099,Christian Harris,LB,"exact name, slot agrees",1.000
4for4_idp,db:Christian Izien|DET,Christian Izien,DET,S,DB,4372459,Christian Izien,S,"exact name, slot agrees",1.000
4for4_idp,lb:Christian Rozeboom|TB,Christian Rozeboom,TB,LB,LB,3909013,Christian Rozeboom,LB,"exact name, slot agrees",1.000
4for4_idp,db:Chuck Clark|DET,Chuck Clark,DET,S,DB,3045463,Chuck Clark,S,"exact name, slot agrees",1.000
4for4_idp,db:Clark Phillips III|ATL,Clark Phillips III,ATL,CB,DB,4429067,Clark Phillips III,CB,"exact name, slot agrees",1.000
4for4_idp,lb:Claudin Cherelus|CAR,Claudin Cherelus,CAR,LB,LB,4256224,Claudin Cherelus,LB,"exact name, slot agrees",1.000
4for4_idp,dl:Clelin Ferrell|MIA,Clelin Ferrell,MIA,DE,DL,3728258,Clelin Ferrell,DE,"exact name, slot agrees",1.000
4for4_idp,db:Cobee Bryant|ATL,Cobee Bryant,ATL,CB,DB,4429324,Cobee Bryant,CB,"exact name, slot agrees",1.000
4for4_idp,db:Cobie Durant|DAL,Cobie Durant,DAL,CB,DB,4384549,Cobie Durant,CB,"exact name, slot agrees",1.000
4for4_idp,db:Coby Bryant|CHI,Coby Bryant,CHI,S,DB,4239094,Coby Bryant,S,"exact name, slot agrees",1.000
4for4_idp,lb:Cody Barton|TEN,Cody Barton,TEN,LB,LB,3926229,Cody Barton,LB,"exact name, slot agrees",1.000
4for4_idp,lb:Cody Lindenberg|LV,Cody Lindenberg,LV,LB,LB,4685126,Cody Lindenberg,LB,"exact name, slot agrees",1.000
4for4_idp,lb:Cody Simon|ARI,Cody Simon,ARI,LB,LB,4429071,Cody Simon,LB,"exact name, slot agrees",1.000
4for4_idp,dl:Colby Wooden|IND,Colby Wooden,IND,DT,DL,4567224,Colby Wooden,DT,"exact name, slot agrees",1.000
4for4_idp,db:Cole Bishop|BUF,Cole Bishop,BUF,S,DB,4676004,Cole Bishop,S,"exact name, slot agrees",1.000
4for4_idp,lb:Cole Holcomb|PIT,Cole Holcomb,PIT,LB,LB,3116689,Cole Holcomb,LB,"exact name, slot agrees",1.000
4for4_idp,db:Cole Wisniewski|PHI,Cole Wisniewski,PHI,S,DB,4693345,Cole Wisniewski,S,"exact name, slot agrees",1.000
4for4_idp,db:Colton Hood|NYG,Colton Hood,NYG,CB,DB,4921249,Colton Hood,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Connor O'Toole|SEA,Connor O'Toole,SEA,DE,DL,4605491,Connor O'Toole,DE,"exact name, slot agrees",1.000
4for4_idp,db:Cooper DeJean|PHI,Cooper DeJean,PHI,CB,DB,4682618,Cooper DeJean,CB,"exact name, slot agrees",1.000
4for4_idp,lb:Cooper McDonald|KC,Cooper McDonald,KC,LB,LB,4567826,Cooper McDonald,LB,"exact name, slot agrees",1.000
4for4_idp,db:Cordale Flott|TEN,Cordale Flott,TEN,CB,DB,4429607,Cor'Dale Flott,CB,"exact name, slot agrees",1.000
4for4_idp,db:Corey Thornton|CAR,Corey Thornton,CAR,CB,DB,4431426,Corey Thornton,CB,"exact name, slot agrees",1.000
4for4_idp,dl:Cory Durden|NE,Cory Durden,NE,DT,DL,4240042,Cory Durden,DT,"exact name, slot agrees",1.000
4for4_idp,db:Craig Woodson|NE,Craig Woodson,NE,S,DB,4428930,Craig Woodson,S,"exact name, slot agrees",1.000
4for4_idp,db:D Angelo Ponds|NYJ,D Angelo Ponds,NYJ,CB,DB,5118340,D'Angelo Ponds,CB,"fuzzy name, slot agrees",0.963
4for4_idp,db:D'Angelo Ross|CLE,D'Angelo Ross,CLE,CB,DB,3139389,D'Angelo Ross,CB,"exact name, slot agrees",1.000
4for4_idp,db:D'Anthony Bell|SEA,D'Anthony Bell,SEA,S,DB,4608386,D'Anthony Bell,S,"exact name, slot agrees",1.000
4for4_idp,lb:D'Marco Jackson|CHI,D'Marco Jackson,CHI,LB,LB,4241007,D'Marco Jackson,LB,"exact name, slot agrees",1.000
4for4_idp,dl:D.J. Davidson|WAS,D.J. Davidson,WAS,DT,DL,4242899,DJ Davidson,DT,"exact name, slot agrees",1.000
4for4_idp,dl:D.J. Jones|DEN,D.J. Jones,DEN,DT,DL,3894915,D.J. Jones,DT,"exact name, slot agrees",1.000
4for4_idp,dl:D.J. Reader|NYG,D.J. Reader,NYG,DT,DL,2977670,DJ Reader,DT,"exact name, slot agrees",1.000
4for4_idp,db:D.J. Reed|DET,D.J. Reed,DET,CB,DB,3139387,D.J. Reed,CB,"exact name, slot agrees",1.000
4for4_idp,dl:D.J. Wonnum|DET,D.J. Wonnum,DET,DE,DL,4038849,DJ Wonnum,DE,"exact name, slot agrees",1.000
